,Region,Section,Alignment
15,Quartile 1,1,0.755237060519024
16,Quartile 1,10,0.7109580146646368
17,Quartile 1,11,0.844636626673357
18,Quartile 1,12,0.73313120890294
19,Quartile 1,13,0.8340862493174639
20,Quartile 1,2,0.7330336003225645
21,Quartile 1,3,0.6705053337433908
22,Quartile 1,4,0.8578404466970622
23,Quartile 1,5,0.7920338188147282
24,Quartile 1,6,0.7451778312824225
25,Quartile 1,7,0.6804043113787924
26,Quartile 1,8,0.8397188165687451
27,Quartile 1,9,0.8308543485166194
28,Quartile 1,AllQuestions,0.7470103410088561
29,Quartile 1,SectionsAvg,0.7713552051847498
